key,value,unit,status,source,notes
airframe_outer_diameter_mm,120.0,mm,provisional,requirements/system.yaml:SYS-STRUCT-001,Vehicle maximum body diameter
airframe_wall_thickness_mm,2.0,mm,provisional,requirements/system.yaml:SYS-STRUCT-001,Design wall thickness pending airframe selection
airframe_nominal_inner_diameter_mm,116.0,mm,derived,requirements/system.yaml:SYS-STRUCT-001,Outer diameter minus twice the wall thickness
minimum_verified_clear_bore_mm,TBD,mm,open,requirements/system.yaml:SYS-STRUCT-001,Must be measured including couplers fasteners and local intrusions
nose_ogive_length_mm,550.0,mm,provisional,simulations/openrocket/andromeda-v0.1/rocket.ork,Von Karman ogive length
nose_wall_thickness_mm,1.5,mm,provisional,simulations/openrocket/andromeda-v0.1/rocket.ork,OpenRocket carbon-fiber nose input
nose_shoulder_radius_mm,58.0,mm,provisional,simulations/openrocket/andromeda-v0.1/rocket.ork,OpenRocket nose shoulder radius
nose_shoulder_length_mm,80.0,mm,provisional,simulations/openrocket/andromeda-v0.1/rocket.ork,Also used as conceptual separation-module allocation
separation_module_inner_diameter_mm,100.0,mm,conceptual,packaging-v0.2,Internal passage placeholder pending separation mechanism and harness design
avionics_section_length_mm,1000.0,mm,derived,simulations/openrocket/andromeda-v0.1/rocket.ork,Groups the former 550 mm recovery 250 mm avionics and 200 mm power tubes
motor_section_length_mm,600.0,mm,provisional,simulations/openrocket/andromeda-v0.1/rocket.ork,OpenRocket propulsion-module length
overall_vehicle_length_mm,2150.0,mm,derived,simulations/openrocket/andromeda-v0.1/rocket.ork,Nose plus avionics plus motor sections
separation_interface_station_mm,550.0,mm,derived,user_architecture,Interface between nose recovery section and avionics section
motor_interface_station_mm,1550.0,mm,derived,user_architecture,Interface between avionics and motor sections
flight_disk_outer_diameter_mm,110.0,mm,conceptual,architecture_review,Initial disk envelope not a released PCB outline
flight_disk_thickness_mm,1.6,mm,conceptual,architecture_review,Generic PCB thickness for envelope visualization
recovery_control_disk_station_mm,650.0,mm,conceptual,user_architecture,Uppermost avionics disk immediately aft of separation module
